0.000000,0.000000,0.000000
    0.95,147.62,80.83
    1.89,295.24,152.86
    2.84,442.85,216.10
    3.79,590.47,270.53
    4.73,738.09,316.17
    5.68,885.71,353.02
    6.63,1033.33,381.06
    7.58,1180.95,400.31
    8.52,1328.56,410.76
    9.47,1476.18,412.42
   10.42,1623.80,405.27
   11.36,1771.42,389.33
   12.31,1919.04,364.60
   13.26,2066.66,331.06
   14.20,2214.27,288.73
   15.15,2361.89,237.60
   16.10,2509.51,177.68
   17.05,2657.13,108.95
   17.99,2804.75,31.43
   18.94,2952.37,-54.89
